Date,South Carolina,Louisiana,Virginia,Idaho,Iowa,Missouri,Oklahoma,Colorado,Illinois,Indiana,Mississippi,Nebraska,Pennsylvania,Washington,Vermont,Florida,North Carolina,California,New York,Wyoming,Michigan,Kentucky,Ohio,Alaska,Tennessee,Texas,Maine,Maryland,Minnesota,Arizona,Georgia,Arkansas,Wisconsin,Kansas,New Jersey,South Dakota,Alabama,North Dakota,Massachusetts,New Hampshire,Oregon,West Virginia,New Mexico,Utah,Rhode Island,Montana,Nevada,District of Columbia,Connecticut,Hawaii,Delaware,Diamond Princess,Grand Princess,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands
13,109,581,197,11,77,161,102,794,1672,493,139,92,1219,175,16,1401,216,1089,8007,9,639,270,354,15,376,654,17,531,194,149,293,52,128,69,3699,104,346,15,2615,44,156,16,154,96,316,10,134,97,525,34,146,0,0,0,0,109,0
14,71,421,473,19,123,246,99,384,1173,431,161,23,1354,26,21,1124,316,1136,6716,5,1391,55,371,5,102,598,65,711,0,163,863,130,87,46,2734,138,171,23,1392,56,57,18,17,60,0,7,154,80,1346,5,133,0,0,0,0,6,0
15,162,502,435,38,189,231,115,259,1223,168,145,83,1173,164,4,609,227,1425,7271,7,1366,30,310,8,217,731,37,536,74,104,1263,88,127,51,4240,120,219,10,1297,-63,49,29,83,54,586,5,144,103,608,7,168,0,0,0,0,20,0
16,103,433,318,9,96,45,79,6,1345,433,273,4,1288,143,7,883,227,1330,11434,5,1058,162,509,8,0,901,35,560,114,155,409,71,166,63,2206,180,122,24,1754,217,30,62,139,131,0,5,77,139,766,13,88,0,0,2,2,51,0
17,222,584,496,68,169,290,101,368,1493,597,217,83,1568,288,10,1124,353,1236,8072,9,982,156,657,8,218,971,29,770,131,274,1104,63,166,113,3719,122,248,14,2242,74,61,37,57,123,463,9,157,140,1027,9,152,0,0,1,0,47,0
18,221,583,495,68,168,290,101,367,1492,597,216,82,1567,287,10,1124,352,1235,8071,9,982,156,656,8,218,971,28,770,130,273,1103,63,166,113,3718,121,248,14,2242,74,61,36,56,122,463,9,156,139,1027,8,151,0,0,0,0,47,0
19,149,462,562,46,181,208,0,356,1582,487,181,183,1764,259,24,733,283,1334,11115,4,768,185,1115,5,326,855,20,754,139,213,475,49,146,91,2953,131,141,135,1970,55,59,10,201,124,314,4,102,190,741,33,221,0,0,0,1,50,2
20,129,348,489,13,389,164,102,683,1197,570,300,225,1250,479,10,822,273,940,6103,4,633,253,1380,5,481,556,20,521,147,209,632,37,147,84,3881,93,176,57,1705,48,66,105,47,152,215,7,102,127,412,6,0,0,0,0,0,95,0
21,69,595,448,4,257,147,113,0,1156,477,238,174,1012,-141,3,745,294,2255,5245,4,576,90,1317,2,168,491,8,837,114,135,1106,192,153,143,3421,50,191,42,0,57,47,12,126,144,384,0,102,134,1853,4,207,0,0,0,0,39,0
22,-7,331,640,64,482,176,127,743,1546,409,204,37,1335,449,2,810,239,1779,5301,126,667,154,806,8,156,823,13,509,97,188,474,17,126,116,3665,70,238,17,3122,43,47,6,0,84,410,4,107,171,545,2,186,0,0,0,0,46,0
23,322,404,636,30,107,211,87,418,2048,341,178,128,833,-512,5,440,361,1879,4931,4,1299,174,392,6,0,747,19,582,155,217,1333,286,220,167,3527,103,276,35,1745,98,55,31,239,148,341,2,144,108,2109,6,269,0,-13,0,0,-46,1
24,156,481,732,70,176,229,123,387,1830,601,259,389,2297,702,2,1339,325,2217,168,6,1330,101,577,2,872,1329,30,962,220,299,669,323,207,390,4111,98,239,30,3079,82,68,42,169,167,415,3,127,155,631,4,108,0,0,3,0,164,0
